TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614381706,2/26/2021 23:21,38.5107193,1,1,1,1,28.83726311,26
1614382066,2/26/2021 23:27,38.60684967,1,1,1,1,28.83726311,26
1614382426,2/26/2021 23:33,38.62974167,1,1,1,1,28.82391167,26
1614382786,2/26/2021 23:39,38.66025925,1,1,1,1,28.85061455,26
1614383146,2/26/2021 23:45,38.64805222,1,1,1,1,28.85061455,26
1614383506,2/26/2021 23:51,38.67551804,1,1,1,1,28.86930656,26
1614383866,2/26/2021 23:57,38.7792778,1,1,1,1,28.83726311,26
1614384226,2/27/2021 0:03,38.87541199,1,1,1,1,28.85061455,26
1614384586,2/27/2021 0:09,38.86167526,1,1,1,1,28.85061455,26
1614385066,2/27/2021 0:17,38.96696472,1,1,1,1,28.85061455,26
1614385426,2/27/2021 0:23,38.9684906,1,1,1,1,28.86930656,26
1614385786,2/27/2021 0:29,39.076828,1,1,1,1,28.86930656,26
1614386146,2/27/2021 0:35,39.11802673,1,1,1,1,28.89600945,26
1614386506,2/27/2021 0:41,39.15465164,1,1,1,1,28.85061455,26
1614386866,2/27/2021 0:47,39.27977371,1,1,1,1,28.89600945,26
1614387226,2/27/2021 0:53,39.38506317,1,1,1,1,28.882658,26
1614387586,2/27/2021 0:59,39.43846893,1,1,1,1,28.882658,26
1614387946,2/27/2021 1:05,39.62615585,1,1,1,1,28.882658,26
1614388306,2/27/2021 1:11,39.63988876,1,1,1,1,28.882658,26
1614388666,2/27/2021 1:17,39.80010605,1,1,1,1,28.89600945,26
1614389026,2/27/2021 1:23,39.99847412,1,1,1,1,28.882658,26
1614389386,2/27/2021 1:29,39.96185303,1,1,1,1,28.90936089,26
1614389746,2/27/2021 1:35,39.94659424,1,1,1,1,28.882658,26
1614390106,2/27/2021 1:41,40.12207031,1,1,1,1,28.89600945,26
1614390466,2/27/2021 1:47,40.20294571,1,1,1,1,28.89600945,26
1614390826,2/27/2021 1:53,40.2685585,1,1,1,1,28.89600945,26
1614391306,2/27/2021 2:01,40.23041153,1,1,1,1,28.90936089,26
1614391666,2/27/2021 2:07,40.33569717,1,1,1,1,28.89600945,26
1614392026,2/27/2021 2:13,40.33264542,1,1,1,1,28.882658,26
1614392386,2/27/2021 2:19,40.36011124,1,1,1,1,28.89600945,26
1614392746,2/27/2021 2:25,40.44098663,1,1,1,1,28.882658,26
1614393106,2/27/2021 2:31,40.3997879,1,1,1,1,28.882658,26
1614393466,2/27/2021 2:37,40.48218536,1,1,1,1,28.89600945,26
1614393826,2/27/2021 2:43,40.54322052,1,1,1,1,28.86930656,26
1614394186,2/27/2021 2:49,40.56000519,1,1,1,1,28.86930656,26
1614394546,2/27/2021 2:55,40.61493683,1,1,1,1,28.882658,26
1614394906,2/27/2021 3:01,40.68055344,1,1,1,1,28.882658,26
1614395266,2/27/2021 3:07,40.80262375,1,1,1,1,28.882658,26
1614395626,2/27/2021 3:13,40.80262375,1,1,1,1,28.882658,26
1614395986,2/27/2021 3:19,40.82703781,1,1,1,1,28.882658,26
1614396346,2/27/2021 3:25,40.84077072,1,1,1,1,28.882658,26
1614396706,2/27/2021 3:31,40.89112854,1,1,1,1,28.86930656,26
1614397066,2/27/2021 3:37,40.92164612,1,1,1,1,28.86930656,26
1614397426,2/27/2021 3:43,40.95826721,1,1,1,1,28.86930656,26
1614397786,2/27/2021 3:49,41.04981995,1,1,1,1,28.83726311,26
1614398146,2/27/2021 3:55,41.07881165,1,1,1,1,28.86930656,26
1614398506,2/27/2021 4:01,41.06507874,1,1,1,1,28.83726311,26
1614398866,2/27/2021 4:07,41.15663528,1,1,1,1,28.85061455,26
1614399226,2/27/2021 4:13,41.19630814,1,1,1,1,28.83726311,26
1614399586,2/27/2021 4:19,41.23903275,1,1,1,1,28.85061455,26
1614399946,2/27/2021 4:25,41.25123978,1,1,1,1,28.82391167,26
1614400306,2/27/2021 4:31,41.2787056,1,1,1,1,28.85061455,26
1614400666,2/27/2021 4:37,41.33058548,1,1,1,1,28.83726311,26
1614401026,2/27/2021 4:43,41.3580513,1,1,1,1,28.83726311,26
1614401386,2/27/2021 4:49,41.46334076,1,1,1,1,28.82391167,26
1614401866,2/27/2021 4:57,41.46334076,1,1,1,1,28.83726311,26
1614402346,2/27/2021 5:05,41.54421234,1,1,1,1,28.82391167,26
1614402706,2/27/2021 5:11,41.50453949,1,1,1,1,28.85061455,26
1614403066,2/27/2021 5:17,41.62355804,1,1,1,1,28.82391167,26
1614403426,2/27/2021 5:23,41.63729477,1,1,1,1,28.83726311,26
1614403786,2/27/2021 5:29,41.66323471,1,1,1,1,28.82391167,26
1614404146,2/27/2021 5:35,41.78377914,1,1,1,1,28.81055832,26
1614404506,2/27/2021 5:41,41.79598618,1,1,1,1,28.81055832,26
1614404866,2/27/2021 5:47,41.87533569,1,1,1,1,28.81055832,26
1614405226,2/27/2021 5:53,41.88754272,1,1,1,1,28.79453659,26
1614405586,2/27/2021 5:59,41.88754272,1,1,1,1,28.79453659,26
1614406066,2/27/2021 6:07,41.9836731,1,1,1,1,28.82391167,26
1614406426,2/27/2021 6:13,42.0340271,1,1,1,1,28.79453659,26
1614406786,2/27/2021 6:19,42.13016129,1,1,1,1,28.82391167,26
1614407146,2/27/2021 6:25,42.50247955,1,1,1,1,28.82391167,26
1614407506,2/27/2021 6:31,42.55741119,1,1,1,1,28.81055832,26
1614407866,2/27/2021 6:37,42.70389938,1,1,1,1,28.82391167,26
1614408226,2/27/2021 6:43,43.13267899,1,1,1,1,28.82391167,26
1614408586,2/27/2021 6:49,43.2257576,1,1,1,1,28.82391167,26
1614408946,2/27/2021 6:55,43.51873016,1,1,1,1,28.82391167,26
1614409306,2/27/2021 7:01,43.50499725,1,1,1,1,28.81055832,26
1614409666,2/27/2021 7:07,43.62707138,1,1,1,1,28.81055832,26
1614410026,2/27/2021 7:13,43.96276855,1,1,1,1,28.82391167,26
1614410386,2/27/2021 7:19,43.95819092,1,1,1,1,28.78118515,26
1614410746,2/27/2021 7:25,44.04821777,1,1,1,1,28.79453659,26
1614411106,2/27/2021 7:31,44.11230469,1,1,1,1,28.82391167,26
1614411466,2/27/2021 7:37,44.26794815,1,1,1,1,28.79453659,26
1614411826,2/27/2021 7:43,44.70435715,1,1,1,1,28.82391167,26
1614412186,2/27/2021 7:49,44.35187149,1,1,1,1,28.86930656,26
1614412546,2/27/2021 7:55,44.64484787,1,1,1,1,28.9520874,26
1614412906,2/27/2021 8:01,44.39307404,1,1,1,1,29.02151489,26
1614413266,2/27/2021 8:07,44.1489296,1,1,1,1,29.12031746,26
1614413626,2/27/2021 8:13,43.97497559,1,1,1,1,29.21912003,26
1614413986,2/27/2021 8:19,43.71862411,1,1,1,1,29.37399864,26
1614414346,2/27/2021 8:25,43.4943161,1,1,1,1,29.53154755,26
1614414706,2/27/2021 8:31,43.29442215,1,1,1,1,29.64370155,26
1614415066,2/27/2021 8:37,43.04570007,1,1,1,1,29.81193161,26
1614415426,2/27/2021 8:43,42.77103806,1,1,1,1,29.98283386,26
1614415786,2/27/2021 8:49,42.51926422,1,1,1,1,30.13771248,26
